Label;tweet
Netral;#tolakPenundaanPemilu #Tolak3Periode  Coba yg berkompeten beri analisa dari dari screen shot terlampir  https://t.co/7aZZrMgL1D
Negatif;Dipaksa untuk melawan konstitusi,sekelas lembaga survey pun berani mengambil kesempatan demi sebuah ambisi.. Hebat!!! #Tolak3Periode  #tolakPenundaanPemilu  #demokratJakartaTerusBergerak
Negatif;@KimD0n4t Gitu masih dengan bangganya mau nangkring berkuasa hingga 3 priode  Stop sudah cukup penderitaan rakyat hanya karena muka ndeso mu  #TolakPenundaanPemilu  #TolakPenundaanPemilu
Netral;@akunkelima212 Up  #TolakPenundaanPemilu  #TolakPenundaanPemilu
Netral;#tolakPenundaanPemilu #Tolak3Periode
Negatif;@ikofurqonmas Sudah imsak..😅 #Tolak3Periode  #tolakPenundaanPemilu  #TolakAmandemenKe5
Netral;#TolakPenundaanPemilu #Tolak3Periode  #LuhutDalangMakarKonstitusi  https://t.co/9zIrcI92Sd
Negatif;@emprosay Jelang imsak.. #Tolak3Periode  #tolakPenundaanPemilu  #TolakAmandemenKe5
Negatif;Cc @fadlizon @MardaniAliSera @Fahrihamzah @fahiraidris @msaid_didu @sudirmansaid @RamliRizal @AnthonyBudiawan @tvOneNews @narasitv @NajwaShihab @KompasTV @BEMUI_Official  Pasti @jokowi dan @PDI_Perjuangan benci sekali sama orang ini. #TolakPenundaanPemilu  #TolakJokowi3Periode
Negatif;Setelah melihat banyaknya permintaan Jokowi Mundur dari berbagai elemen Masyarakat,maka wacana Tiga Periode sepertinya hanya MIMPI bagi mereka yg saat ini sedang bermanuver.  #tolakPenundaanPemilu  https://t.co/U5Z0WSdCro
Negatif;Big Data: Kecenderungan ketidaksukaan terhadap deklarasi Jokowi 3 periode cenderung naik  #Tolak3Periode #tolakPenundaanPemilu #bigdata #evello    https://t.co/Nieeeu7g01
Negatif;""" Penjilat Penjilat Kekuasaan ""  Pak @Fahrihamzah 👍👍👍 #Tolak3Periode  #TolakPenundaanPemilu  https://t.co/3IxtuqJQlT"
Negatif;Negara Kalah oleh Sekelas Mafia Migor..!!!   #TolakPenundaanPemilu #Tolak3Periode
Netral;@ikofurqonmas Sambil ngopi #Tolak3Periode  #tolakPenundaanPemilu  #TolakAmandemenKe5
Negatif;@emprosay Mainkan Jemarimu.. #Tolak3Periode  #tolakPenundaanPemilu  #TolakAmandemenKe5
Negatif;@ikofurqonmas Asik kembali ke seharusnya #Tolak3Periode  #tolakPenundaanPemilu  #TolakAmandemenKe5
Netral;@emprosay Alhamdulillah barusan juga shafnya rapat dan mesjid juga penuh...  #Tolak3Periode  #tolakPenundaanPemilu
Netral;LaNyalla menyebut, jika skor potensi kemarahan publik ini terus meningkat, tidak tertutup kemungkinan aksi turun ke jalan akan meluas.   #LaNyalla #Tolak3Periode #tolakPenundaanPemilu
Negatif;Ia juga menyampaikan bahwa ada potensi peningkatan kemarahan publik soal deklarasi Jokowi 3 periode.   #LaNyalla #Tolak3Periode #tolakPenundaanPemilu
Negatif;LaNyalla juga mengingatkan, berdasarkan analisa Big Data yang dimiliki, kecenderungan masyarakat senang dengan deklarasi Jokowi 3 periode turun dari 28% menjadi 23%.   #LaNyalla #Tolak3Periode #tolakPenundaanPemilu
Negatif;Ingatkan Luhut, LaNyalla: Penundaan Pemilu dan Presiden 3 Periode akan Picu Kemarahan Publik  #LaNyalla #Tolak3Periode #tolakPenundaanPemilu  https://t.co/McCK3NDzg2
Positif;Nah ini baru mhsiswa yg peduli bangsa dan negara...👍✊👍 Ayo maju terus dan bergerak..!! Lawan kezholiman dan sewenang2 !! #tolakPenundaanPemilu  #Tolak3Periode  #TolakIKNbaru. @aliansibem_si @BEM_SI  @fnncoid @tempodotco @geloraco @keuangannews_id  @VIVAcoid @tvOneNews
Netral;Alhamdulillah dimasjid istiqlal shaf sdh rapat di mesjid2 disini juga sdh rapat. Rapatkan barisan #Tolak3Periode  #tolakPenundaanPemilu  https://t.co/sBV6E8gCAz
Positif;Bila terus di gembar-gembor kan bisa jadi pertumpahan akan terjadi!!!   Jangan karena arogansi sejarah tragis akan terulang kembali!   #hidupmahasiswa #hiduprakyat #tolakPenundaanPemilu #Tolak3Periode #MahasiswaMelawan   https://t.co/FiPnBNQ38b
Netral;#tolakPenundaanPemilu  #tolakPenundaanPemilu
Negatif;Opung jangan ribut, ini suara daerah, tanpa rekayasa... #Tolak3Periode 💪 #TolakPenundaanPemilu #Nalar !!
Negatif;@Cozilar_Cup @tvOneNews @jokowi Keknya lagi mikirin tunda pemilu tapi rakyat #tolakPenundaanPemilu karena Melanggar Konstitusi.  Apalagi suara parpol di @DPR_RI @mprgoid @DPDRI serentak #tolakPenundaanPemilu  Mau 3 periode? 2 periode aja Gagal.
Negatif;#tolakPenundaanPemilu  #Tolak3Periode  #3periodendasmu  #LaNyalla
Netral;#Tolak3Periode  #tolakPenundaanPemilu
Negatif;banturetweet Saudaraku Terima Kasih. #2024gantian..#tolak3periode  #tolaktundapemilu  #tolakpenundaanpemilu  #TikTok  https://t.co/RDSYSyNDJt
Netral;@penikmatko_pi #Tolak3Periode  #tolakpenundaanpemilu
Netral;#TolakBoosterSyaratMudik  #Tolak3Periode  #TolakPenundaanPemilu  https://t.co/EmtGBn6xTk
Positif;banturetweet Saudaraku Terima Kasih. #2024gantian..#tolak3periode  #tolaktundapemilu  #tolakpenundaanpemilu   #TikTok  https://t.co/N74MXY5hTz
Negatif;@dekuxell_ Pasti mereka akan bilang utang ini sebagai warisan dari pendahulunya. Tetapi, seluruh jalan toll di Indonesia baru mulai dibangun pada periode pertama. Lanjut di periode kedua, dan agar tuntas perlu tambahan satu periode lagi.  🤮 🤮 🤮  #Tolak3Periode  #TolakPenundaanPemilu
Positif;Saya biasanya bersebrangan dengan bung Ardian Napitupulu dalam banyak hal. Tapi dalam hal ini saya setuju dgn dia.  #Tolak3Periode #tolakPenundaanPemilu
Positif;"""Aliansi Mahasiswa Indonesia menuntut Presiden Joko Widodo mengeluarkan pernyataan secara resmi 'menolak penundaan pemilu dan perpanjangan masa jabatan presiden'"" paling lambat hari ini, 3 April. #MahasiswaMelawan  #TolakPenundaanPemilu #Tolak3Periode 💪  https://t.co/5wf4Ws5tmm"
Netral;#tolakPenundaanPemilu
Negatif;"@detikcom Setuju bahwa ""demokrasi itu bukan hanya maunya dia"", apalagi sampai ngarang-ngarang #BigDusta untuk melanggengkan kekuasaan.   #Tolak3Periode  #TolakPenundaanPemilu"
Negatif;Makin kesni kok makin aneh, yg naik BBM nya yg didemo 3 priode, udh ntar aja fokus ke BBM AJA minyak mahal ngantri panjang yaa malah demo 3 priode, ga mungkin 3 priode udahhh BBM dlu #tolakPenundaanPemilu
Netral;BEM SI sudah mulai bangun, apakabar BEM NUS dan Cipyung Plus?  #Tolak3Periode #tolakPenundaanPemilu
Negatif;Maka kita wajib  #Tolak3Periode  #Tolak3Periode  #tolakPenundaanPemilu  #tolakPenundaanPemilu
Netral;#tolakPenundaanPemilu #Tolak3Periode
Negatif;Lu mau bela siapa kek gw ga peduli. Tapi gw ingetin aja, siapapun lu, apapun keputusan lu, bagaimana lu mengambil sikap, semua ada pertanggungjawabannya. Ingat, ada dharma dan karma.  #TolakPenundaanPemilu #Tolak3Periode
Netral;@penikmatko_pi #tolakPenundaanPemilu
Negatif;@bengkeldodo @cakimiNOW Kalau partai kompak Jokowi pasri setuju ...   #tolak3periode #LaNyalla #tolakPenundaanPemilu  @DPP_PKB  ingat , rakyat adalah pemilik sah bangsa ini jangan anda kira milik ketua umum parpol yang mendukung penundaan pemilu .  @LaNyallaMM1   https://t.co/c2FlzfqAdO
Negatif;@cakimiNOW  : Kalau partai kompak Jokowi pasri setuju ...   #tolak3periode #LaNyalla #tolakPenundaanPemilu  @DPP_PKB  ingat , rakyat adalah pemilik sah bangsa ini jangan anda kira milik ketua umum parpol yang mendukung penundaan pemilu .  @LaNyallaMM1   https://t.co/OFSudVMokP
Negatif;@DeeJee_007 @Lord_Dull @RickyBarmans @p4is_b3lut__ @tebisacicing @JackGydanz @Kanseulier @BalihoTentara @rimacahaya66 @GatotDe @taslimandr @Musafir2022 @RatnasiregarS @Lia_kurus2 @SMuksin1 @rnayonice @khoiruumat @UmmiAiny @DeynayourQueen @Armanhifdhi1 @Najm_R13 @cakimiNOW ? : Kalau partai kompak Jokowi pasri setuju ?  #tolak3periode #LaNyalla #konstitusi #spiritlanyalla #tolakPenundaanPemilu  Ingat , rakyat adalah pemilik sah bangsa ini jangan anda kira milik ketua umum parpol yang mendukung penundaan pemilu .  https://t.co/zpZqUWhZiY
Positif;@DeeJee_007 @conan_idn @al_qassham @wanguna8 @sutanmangarahrp @brandalsantri45 @SangLangit01 @DjumadiDeddy @yashadipura @abiismaeil @DonAdam68 @Wrp73RM @RadenKianSayang @AlbarraBack @nurulngalam1 @kicepkicep @RepublikIni @EmgalibOposisi @ae_kayo @Mamah_Hajar @__Sridiana_3va DPD RI siap jadi palang pintu !!   Bila sidang MPR membahas perpanjangan masa jabatan presiden/3 periode jelas dan tegas seluruh anggota DPD RI akan menolak dan tentunya sidang tsb tidak sah   #LaNyalla #tolakPenundaanPemilu #tolak3periode @LaNyallaMM1    https://t.co/FIVrYxZhq5
Positif;@satriohendri DPD RI siap jadi palang pintu !!   Bila sidang MPR membahas perpanjangan masa jabatan presiden/3 periode jelas dan tegas seluruh anggota DPD RI akan menolak dan tentunya sidang tsb tidak sah   #LaNyalla #tolakPenundaanPemilu #tolak3periode @LaNyallaMM1    https://t.co/FIVrYxZhq5
Positif;DPD RI siap jadi palang pintu !!   Bila sidang MPR membahas perpanjangan masa jabatan presiden/3 periode jelas dan tegas seluruh anggota DPD RI akan menolak dan tentunya sidang tsb tidak sah   #LaNyalla #tolakPenundaanPemilu #tolak3periode @LaNyallaMM1    https://t.co/FIVrYxZhq5
Positif;Bila sidang MPR membahas perpanjangan masa jabatan presiden/3 periode jelas dan tegas seluruh anggota DPD RI akan menolak dan tentunya sidang tidak sah   @Nicho_Silalahi @Jhonkosmik @MbahUyoks  @Tofa_Tofa_Tofa @RagilSemar #LaNyalla #tolakPenundaanPemilu  https://t.co/FIVrYxZhq5
Positif;Bila sidang MPR membahas perpanjangan masa jabatan presiden/3 periode jelas dan tegas seluruh anggota DPD RI akan menolak dan tentunya sidang tsb tidak sah   @IstanaLurah @KING__VADUKA @HukumDan @Hasbil_Lbs @RamliRizal @fadlizon @msaid_didu @Android_AK_47   #tolakPenundaanPemilu  https://t.co/FIVrYxZhq5
Positif;@cakimiNOW : Kalau partai kompak Jokowi pasti setuju  #tolak3periode #LaNyalla #tolakPenundaanPemilu  Ingat , rakyat adalah pemilik sah bangsa ini jangan anda kira milik ketua umum parpol yang mendukung penundaan pemilu @dpp_pkb   @LaNyallaMM1  https://t.co/zpZqUWhZiY
Positif;@cakimiNOW : Kalau partai kompak Jokowi pasri setuju ...   #tolak3periode #LaNyalla #konstitusi #spiritlanyalla #tolakPenundaanPemilu  @DPP_PKB ingat , rakyat adalah pemilik sah bangsa ini jangan anda kira milik ketua umum parpol yang mendukung penundaan pemilu .  @LaNyallaMM1  https://t.co/zpZqUWhZiY
Netral;#Tolakpenundaanpemilu #TolakPresiden3periode    https://t.co/qC48TuhMr9
Positif;Temu Kangen dengan Aktivis Senior Mudrick Setiawan, Ketua DPD RI Bahas Situasi Kebangsaan  #temukangen #tolak3periode #tolakpenundaanpemilu #lanyalla #dpdri #mudrick #aktivis    https://t.co/keU8N9LxpH  https://t.co/hPL7iWUj8p
Netral;@DonAdam68 @jokowi  #tolakpenundaanpemilu
Netral;#jokowi3periode #apdesi #Tolak3Periode #tolakPenundaanPemilu #PemiluSerentak2024  https://t.co/MWnoGlJSFM
Netral;banturetweet Saudaraku Terima Kasih. #2024gantian..#tolak3periode  #tolaktundapemilu  #tolakpenundaanpemilu Lihat video Dibo Piss Media! #TikTok  https://t.co/JqTNKub7hU
Netral;banturetweet Saudaraku Terima Kasih. #2024gantian..#tolak3periode  #tolaktundapemilu  #tolakpenundaanpemilu Lihat video Dibo Piss Media! #TikTok  https://t.co/GSz1osxcTU
Negatif;Mahasiswa sedang apa? Apa yang mereka tuntut? Apakah sama dengan yang rakyat mau? #tolakPenundaanPemilu? #Tolak3Periode? #2024Gantian?
Negatif;Ayo gerudug DPR  Tolak presden 3 periode, penundaan pemilu adalah akal akalan penguasa yang ingin melanggengkan oligarki.  #TolakPresiden3Periode #TolakPenundaanPemilu #TolakJokowi3Periode  https://t.co/odPYqYa11v
Netral;@msaid_didu Hayang ngarawu ku siku #tolakPenundaanPemilu
Netral;banturetweet Saudaraku Terima Kasih. #2024gantian..#tolak3periode  #tolaktundapemilu  #tolakpenundaanpemilu  Lihat video Dibo Piss Media! #TikTok  https://t.co/XQqxkUDvEt
Netral;#banturetweet Saudaraku Terima Kasih.  https://t.co/NLrfVQ1DHG #2024gantian..#tolak3periode  #tolaktundapemilu  #tolakpenundaanpemilu  Lihat video Dibo Piss Media! #TikTok  https://t.co/c9vwrN8glI
Netral;Untuk Di Simak 😊  #Tolak3Periode  #tolakPenundaanPemilu  https://t.co/8yzepYfDKI
Positif;Meskipun demikian, kecenderungan ketidaksukaan terhadap deklarasi Jokowi 3 periode cenderung naik. Ada bibit perlawanan yang tumbuh karena berkembangnya pandangan pelanggaran konstitusi untuk menunda pemilu 2024.   #tolakPenundaanPemilu #Tolak3Periode   #evello
Netral;#banturetweet Saudaraku Terima Kasih.  https://t.co/NLrfVQ1DHG #2024gantian..#tolak3periode  #tolaktundapemilu  #tolakpenundaanpemilu  Lihat video Dibo Piss Media! #TikTok  https://t.co/12FLkM06YI
Netral;@b3masterpi3ce @BEMUI_Official #tolakPenundaanPemilu #tolakPenundaanPemilu
Negatif;@PrilHuseno Salam perjuangan, jgn kendor dan jgn mau di amplopin, serta jgn gentar walaupun di ancam. #tolakPenundaanPemilu  #Tolak3Periode  #MahasiswaMelawan
Positif;Fenomena Langka ...  Adian Napitupulu semprot Ngabalin  Gitu dong sesekali mikirin Rakyat.. Kali ini aku YESS ama Adian 👍😊  #TolakBoosterSyaratMudik  #Tolak3Periode  #TolakPenundaanPemilu  https://t.co/HNt6zw4y5Q
Positif;Tetap WASPADA !!!  Ancaman Komunis Selalu Ada .  SEJARAH ITU HARUS DICERITAKAN  Prof Salim Haji Said  #TolakBoosterSyaratMudik  #Tolak3Periode  #TolakPenundaanPemilu  https://t.co/KFv9PExX91
Netral;Pernyataan Aksi Demo Jumat 1 April 2022 di Jakarta #MahasiswaMelawan #Tolak3Periode 💪 #TolakPenundaanPemilu   https://t.co/84zaUpdLeN
Netral;Aksi Demo Jumat, 1 April 2022 di Jakarta #MahasiswaMelawan  #Tolak3Periode #TolakPenundaanPemilu  THREAD ... BEM UI live report 💪  https://t.co/6ZB7elWJ8O
Positif;Lebaran ga kebeli baju baru gpp, asal pemilu dipercepat... #tolakPenundaanPemilu #WajibLengserkanJokowi  . . . . . Lanjutkeun...
Netral;Jumat, 1 April 2022 di Jakarta  Aksi Demo #MahasiswaMelawan 💪 #Tolak3Periode #TolakPenundaanPemilu   https://t.co/EG9i8eqAt9
Netral;Jumat, 1 April 2022 Aksi Demo di Jakarta #MahasiswaMelawan 💪 #Tolak3Periode #TolakPenundaanPemilu   https://t.co/mkmNPJh9QA
Netral;"Kemarin Jumat, 1 April 2022 kembali #MahasiswaMelawan, dimotori oleh BEM UI &amp; BEM Trisakti ... Aksi demo #Tolak3Periode 💪 #TolakPenundaanPemilu  https://t.co/UoQbXepHhy"
Negatif;@m1n4_95 Pantesan getol banget mempertahankan 3 periode. Takut masuk penjara rupanya. #Tolak3Periode  #tolakPenundaanPemilu
Netral;@MprAldo @AbdlJbrl Mau shaum Sabtu atau Ahad tdk jadi masalah, yg penting Anda shaum. Dan jangan lupa agenda:  #tolakPenundaanPemilu #tolakPenundaanPemilu #Tolak3Periode #Tolak3Periode
Netral;#tolakPenundaanPemilu  #Tolak3Periode
Negatif;Ngurus hal receh ora gableg, ngotot mau berkuasa 3periode.   #tolakPenundaanPemilu
Netral;😵🥴😲 #Tolak3Periode  #tolakPenundaanPemilu  #TolakBoosterSyaratMudik
